,0
0,Arkansas
1,Connecticut
2,Indiana
3,Kansas
4,Kentucky
5,Maine
6,Maryland
7,Massachusetts
8,Minnesota
9,Missouri
10,North Carolina
11,Pennsylvania
12,South Carolina
13,Tennessee
14,Utah
